URL	IP	Product Name	BROWSER DATE	CUSTOMER_ID
http://localhost/store/search/index	183.83.85.232	hh	Chrome{63.0.3239.132}	2018-02-01 17:09:46	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:09:52	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:10:04	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:10:24	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:23:51	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:24:12	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:25:37	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:32:34	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:32:46	0
http://localhost/store/search/index	183.83.85.232	men	Chrome{63.0.3239.132}	2018-02-01 17:34:11	0
http://localhost/store/search/index	183.83.85.232	top	Chrome{63.0.3239.132}	2018-02-01 17:34:19	0
http://localhost/store/search/index	183.83.85.232	top	Chrome{63.0.3239.132}	2018-02-01 17:45:16	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:45:28	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:46:06	0
http://localhost/store/search/index	183.83.85.232	top	Chrome{63.0.3239.132}	2018-02-01 17:47:43	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:47:47	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-01 17:48:01	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-01 17:48:59	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:49:03	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:50:55	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-01 17:51:16	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:51:23	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-01 17:51:42	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:51:53	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-01 17:54:14	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-01 17:55:50	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:55:55	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:55:58	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 17:57:25	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 18:14:39	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 18:14:47	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 18:15:02	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-01 18:15:29	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:14:16	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:15:37	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:16:13	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-02 11:16:33	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-02 11:16:49	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:16:57	0
http://localhost/store/search/index	183.83.85.232	shirt/9	Chrome{63.0.3239.132}	2018-02-02 11:17:17	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:17:50	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:19:54	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:23:22	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:23:46	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:24:20	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:24:31	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:26:06	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:26:27	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:27:01	0
http://localhost/store/search/index	183.83.85.232	shirt	Chrome{63.0.3239.132}	2018-02-02 11:28:05	0
http://localhost/store/searchString	183.83.85.232	Kids In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:04	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
http://localhost/store/searchString	183.83.85.232	Womens In Category	Chrome{63.0.3239.132}	2018-02-07 15:44:05	0
